No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 1, ['Close_proc'], None, co-integration, padding, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5447, 0.0674, 0.5358, 0.0618, NaN, NaN, 0.477, ++++-, 0.512, 6.126, 92.153
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, padding, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5163, 0.0221, 0.5059, 0.0301, NaN, NaN, 0.352, -+-+-, 0.658, -0.925, -13.714
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, padding, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5452, 0.053, 0.5352, 0.0565, NaN, NaN, 0.261, +++++, 1.193, 3.868, 62.831
 1, ['Close_proc'], None, co-integration, time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5355, 0.0472, 0.5284, 0.051, NaN, NaN, 0.485, +++++, 0.563, 7.419, 118.985
 1, ['Close_proc'], None, co-integration, time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.55, 0.0619, 0.541, 0.0566, NaN, NaN, 0.499, ++++-, 0.424, 5.341, 79.016
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5288, 0.0295, 0.5166, 0.0342, NaN, NaN, 0.329, -+-++, 1.042, 0.114, 7.025
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5268, 0.0703, 0.5129, 0.0879, NaN, NaN, 0.218, ++++-, 0.637, 2.757, 38.341
 1, ['Close_proc'], None, co-integration, delay_time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5432, 0.0647, 0.5382, 0.066, NaN, NaN, 0.5, +++--, 0.112, 3.637, 52.683
 1, ['Close_proc'], None, co-integration, delay_time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4988, 0.0644, 0.4919, 0.063, NaN, NaN, 0.577, -+++-, 0.006, 0.378, -0.364
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, delay_time_join, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.494, 0.0457, 0.462, 0.0633, NaN, NaN, 0.219, +-++-, 0.17, -0.326, -12.061
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, delay_time_join, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5242, 0.0675, 0.4909, 0.0876, NaN, NaN, 0.165, +-+--, 0.3, 1.244, 15.685
 1, ['Close_proc'], None, co-integration, pip, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5102, 0.0338, 0.5012, 0.0382, NaN, NaN, 0.503, +++++, 0.276, 7.555, 122.523
 1, ['Close_proc'], None, co-integration, pip, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5258, 0.0632, 0.5175, 0.0564, NaN, NaN, 0.493, +++--, 0.752, 2.672, 33.82
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, pip, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.4963, 0.0278, 0.4673, 0.026, NaN, NaN, 0.229, +--+-, 0.162, -2.024, -39.241
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, pip, 25, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5055, 0.0567, 0.4738, 0.0576, NaN, NaN, 0.266, -+++-, 0.492, 2.071, 29.388
 1, ['Close_proc'], None, sax, padding, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5253, 0.0408, 0.5144, 0.0402, NaN, NaN, 0.477, ++-++, 0.769, 5.096, 85.762
