No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5152, 0.0225, 0.5089, 0.0214, 0.403, 0.206, 0.308, +++++, 1.364, 4.493, 72.619
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4906, 0.0269, 0.4824, 0.021, 0.422, 0.21, 0.324, ++-+-, 0.915, -1.066, -18.843
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5012, 0.0592, 0.4933, 0.0612, 0.408, 0.193, 0.257, +--+-, 0.845, -3.656, -57.241
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4787, 0.0534, 0.4701, 0.053, 0.422, 0.214, 0.216, +-+--, 0.128, -0.935, -17.962
 1, ['Close_norm'], None, sax, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5185, 0.0945, 0.5103, 0.0953, 0.409, 0.203, 0.347, +--++, 0.335, 2.906, 53.069
 1, ['Close_norm'], None, sax, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4971, 0.0817, 0.4886, 0.0806, 0.422, 0.213, 0.258, +-+-+, 0.459, -0.881, -14.912
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5278, 0.0293, 0.5227, 0.0298, 0.407, 0.206, 0.328, +++++, 1.357, 4.775, 78.133
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4959, 0.0288, 0.4868, 0.0223, 0.431, 0.21, 0.294, ++-+-, 1.123, -0.87, -15.767
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5111, 0.0666, 0.5048, 0.0695, 0.405, 0.197, 0.252, +--++, 0.867, -1.365, -16.15
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4999, 0.0535, 0.4918, 0.0524, 0.424, 0.22, 0.213, +-+-+, 0.278, 0.18, 2.764
 1, ['Close_norm'], None, sax, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5012, 0.0545, 0.4931, 0.0542, 0.399, 0.212, 0.374, +--++, 0.515, 0.952, 22.162
 1, ['Close_norm'], None, sax, delay_time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4627, 0.0469, 0.455, 0.0502, 0.408, 0.218, 0.317, -+---, 0.047, -2.76, -47.227
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5, 0.0435, 0.4951, 0.0475, 0.396, 0.216, 0.348, +-+++, 0.168, 1.718, 27.521
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, delay_time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4907, 0.0591, 0.483, 0.0632, 0.415, 0.224, 0.281, ++-+-, 0.534, -1.549, -27.85
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4662, 0.0532, 0.4602, 0.0516, 0.403, 0.204, 0.267, ---+-, 0.099, -5.896, -88.035
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, delay_time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4572, 0.0439, 0.4478, 0.0399, 0.415, 0.221, 0.242, --+-+, 0.171, -1.268, -15.331
 1, ['Close_norm'], None, sax, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4936, 0.052, 0.4781, 0.0445, 0.38, 0.201, 0.324, +-+-+, 0.974, 3.617, 55.192
 1, ['Close_norm'], None, sax, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4866, 0.0549, 0.4659, 0.0583, 0.378, 0.197, 0.293, +++-+, 1.052, 3.306, 52.462
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5, 0.0233, 0.4915, 0.0228, 0.407, 0.191, 0.316, +-+-+, 0.578, -0.138, -3.83
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5147, 0.045, 0.5024, 0.0471, 0.405, 0.224, 0.369, +++-+, 0.861, 2.789, 45.572
