No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5336, 0.0431, 0.5123, 0.0443, NaN, NaN, 0.191, +-+++, 1.068, 4.922, 84.514
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4971, 0.0257, 0.4768, 0.0296, NaN, NaN, 0.333, ++---, 0.696, -0.82, -17.087
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5002, 0.0582, 0.4675, 0.0668, NaN, NaN, 0.243, ++-+-, 0.666, -1.818, -31.543
 1, ['Close_norm'], None, sax, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5053, 0.0305, 0.4915, 0.0243, NaN, NaN, 0.287, ----+, 0.52, -0.743, -11.117
 1, ['Close_norm'], None, sax, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4814, 0.0477, 0.4612, 0.0558, NaN, NaN, 0.214, ----+, -0.238, -6.23, -93.059
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5176, 0.049, 0.5006, 0.063, NaN, NaN, 0.294, +-++-, 0.034, 4.465, 68.663
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4852, 0.0432, 0.4784, 0.0429, NaN, NaN, 0.256, +--+-, -0.308, -0.9, -19.348
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5144, 0.0493, 0.4928, 0.0496, NaN, NaN, 0.298, ---++, -0.034, -0.29, -1.626
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5145, 0.0297, 0.4999, 0.0329, NaN, NaN, 0.248, +-+++, 1.014, 4.2, 73.34
 1, ['Close_norm'], None, sax, time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4867, 0.0238, 0.4681, 0.0196, NaN, NaN, 0.3, -----, -0.161, -3.038, -53.491
