No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5026, 0.0408, 0.4959, 0.036, 0.367, 0.19, 0.269, +----, 0.6, -1.447, -27.049
 1, ['Close_norm'], None, sax, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5037, 0.0663, 0.497, 0.0612, 0.404, 0.213, 0.359, +---+, 0.167, 0.645, 11.971
 1, ['Close_norm'], None, sax, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5292, 0.046, 0.5124, 0.0418, 0.333, 0.177, 0.356, ++-++, 0.955, 1.825, 29.465
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5203, 0.0384, 0.5098, 0.0377, 0.402, 0.197, 0.326, +-++-, 0.584, 3.955, 58.179
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4906, 0.0395, 0.4776, 0.0476, 0.385, 0.188, 0.345, ++-+-, 1.001, 0.001, -0.123
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5137, 0.0579, 0.5056, 0.0562, 0.402, 0.206, 0.259, +--++, 0.635, 0.7, 15.328
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5267, 0.0357, 0.5156, 0.0355, 0.355, 0.189, 0.271, ++---, 1.199, 1.553, 20.849
 1, ['Close_norm'], None, sax, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5137, 0.0257, 0.5057, 0.0197, 0.364, 0.211, 0.357, +-+-+, 0.962, 5.26, 81.902
 1, ['Close_norm'], None, sax, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4787, 0.0373, 0.4543, 0.0587, 0.379, 0.21, 0.263, -++--, 0.142, 2.129, 30.124
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4949, 0.0578, 0.4846, 0.0543, 0.436, 0.241, 0.328, +---+, -0.35, -1.106, -20.924
