No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.518, 0.0929, 0.4832, 0.1086, 0.009, 0.003, 0.22, +--+-, -0.252, 0.051, -3.188
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5175, 0.0432, 0.4568, 0.0756, 0.008, 0.003, 0.199, +--++, 0.697, 0.169, 6.237
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5279, 0.0767, 0.4955, 0.0924, 0.009, 0.002, 0.225, +--++, 0.346, 1.499, 26.123
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4943, 0.0344, 0.4315, 0.0637, 0.008, 0.003, 0.182, +---+, 0.651, -0.35, -0.66
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5178, 0.05, 0.4706, 0.0755, 0.009, 0.003, 0.21, +--+-, 0.163, 0.412, 7.29
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5058, 0.0531, 0.4533, 0.0744, 0.008, 0.003, 0.199, ++-++, 0.853, 1.168, 27.716
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.523, 0.0619, 0.4879, 0.0817, 0.009, 0.003, 0.197, ++-+-, 0.25, 1.119, 12.641
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4942, 0.0373, 0.4747, 0.0357, 0.008, 0.003, 0.202, ++--+, 0.268, 1.029, 22.501
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5052, 0.0259, 0.4717, 0.0425, 0.008, 0.003, 0.23, +--++, -0.198, 1.323, 23.327
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4713, 0.0451, 0.4326, 0.0712, 0.009, 0.003, 0.22, ----+, -0.624, -3.216, -48.561
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5127, 0.0289, 0.4767, 0.0367, 0.008, 0.003, 0.232, +--++, 0.115, 1.379, 22.869
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5058, 0.0486, 0.4813, 0.0591, 0.009, 0.003, 0.24, +--++, 0.165, -0.818, -7.818
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5028, 0.0545, 0.4809, 0.0677, 0.008, 0.003, 0.243, +-++-, -0.263, 1.95, 26.344
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4827, 0.0302, 0.4617, 0.0273, 0.009, 0.003, 0.228, ---++, -0.187, -5.131, -76.209
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 50, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4899, 0.064, 0.4684, 0.0733, 0.009, 0.003, 0.257, +--+-, -0.25, -1.912, -32.751
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 50, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.529, 0.0772, 0.4814, 0.0977, 0.008, 0.003, 0.191, +--++, 0.645, 2.058, 37.519
