No. of features, selected_features, sim_func, fix_len_func, k stock, window_len, next_t, model, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit, std_profit
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 3, GradientBoostingClassifier, 0.5202, 0.0384, 0.4727, 0.0563, NaN, NaN, 0.236, -2.055, 31.838
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 7, RandomForestRegressor, 0.4873, 0.0426, 0.4862, 0.0432, 0.012, 0.003, 0.289, 5.537, 21.996
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 7, RandomForestClassifier, 0.507, 0.0451, 0.4937, 0.0445, NaN, NaN, 0.509, 13.202, 46.994
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 7, GradientBoostingRegressor, 0.4884, 0.0454, 0.4785, 0.0456, 0.011, 0.003, 0.286, 11.726, 43.652
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, pip, 10, 0, 7, GradientBoostingClassifier, 0.521, 0.0399, 0.4491, 0.0539, NaN, NaN, 0.282, 12.805, 46.35
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 1, RandomForestRegressor, 0.4966, 0.0329, 0.4952, 0.0329, 0.012, 0.003, 0.208, 7.124, 19.731
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 1, RandomForestClassifier, 0.5136, 0.032, 0.5023, 0.0362, NaN, NaN, 0.311, 6.326, 36.236
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 1, GradientBoostingRegressor, 0.5038, 0.039, 0.4998, 0.0392, 0.011, 0.003, 0.314, 15.159, 73.467
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 1, GradientBoostingClassifier, 0.5274, 0.0293, 0.4983, 0.0451, NaN, NaN, 0.528, 19.858, 46.807
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 3, RandomForestRegressor, 0.4821, 0.0464, 0.4807, 0.0471, 0.012, 0.003, -0.078, 16.989, 68.71
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 3, RandomForestClassifier, 0.5136, 0.0303, 0.4996, 0.0364, NaN, NaN, 0.429, 1.985, 50.33
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 3, GradientBoostingRegressor, 0.4996, 0.0367, 0.4925, 0.036, 0.012, 0.003, -0.134, 2.908, 39.468
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 3, GradientBoostingClassifier, 0.5277, 0.0419, 0.4743, 0.061, NaN, NaN, 0.527, 4.819, 49.416
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 7, RandomForestRegressor, 0.4925, 0.0364, 0.4916, 0.0364, 0.012, 0.003, 0.236, 7.707, 50.888
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 7, RandomForestClassifier, 0.5063, 0.0468, 0.4898, 0.0484, NaN, NaN, 0.593, 18.945, 45.671
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 7, GradientBoostingRegressor, 0.494, 0.0465, 0.4888, 0.0477, 0.011, 0.003, 0.392, 15.821, 60.393
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 25, 0, 7, GradientBoostingClassifier, 0.5154, 0.0393, 0.4322, 0.0644, NaN, NaN, -0.048, 11.031, 45.935
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 1, RandomForestRegressor, 0.4815, 0.0414, 0.4797, 0.0412, 0.012, 0.003, 0.243, 5.005, 32.665
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 1, RandomForestClassifier, 0.5101, 0.04, 0.497, 0.0437, NaN, NaN, 0.315, 8.404, 34.179
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 25, 0, 1, GradientBoostingRegressor, 0.5026, 0.0284, 0.4947, 0.0303, 0.012, 0.003, 0.305, 15.202, 80.278
